time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-03-24T20:12:44.076Z,64.788,-147.5205,10.3,0.6,ml,,,,0.24,ak,ak0193tll52v,2019-03-24T20:19:49.386Z,"1km SSE of Badger, Alaska",earthquake,,1.3,,,automatic,ak,ak
2019-03-24T20:07:00.732Z,61.5402,-146.4578,28.1,1.5,ml,,,,0.49,ak,ak0193tljz50,2019-03-24T20:16:28.087Z,"45km N of Valdez, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-03-24T19:58:31.410Z,33.8343333,-116.2996667,6.45,0.82,ml,20,70,0.05965,0.22,ci,ci38284303,2019-03-24T20:02:16.364Z,"8km E of Thousand Palms, CA",earthquake,0.38,0.79,0.119,22,automatic,ci,ci
2019-03-24T19:57:54.840Z,33.4933333,-116.7838333,4.98,0.29,ml,16,58,0.08171,0.14,ci,ci38284295,2019-03-24T20:01:29.590Z,"9km NE of Aguanga, CA",earthquake,0.28,1.31,0.107,8,automatic,ci,ci
2019-03-24T19:49:18.018Z,62.9587,-150.5054,32.7,1.4,ml,,,,1.29,ak,ak0193tl7kbd,2019-03-24T19:53:03.389Z,"73km NNW of Talkeetna, Alaska",earthquake,,2.3,,,automatic,ak,ak
2019-03-24T19:45:56.450Z,38.7583351,-122.7261658,1.04,1.12,md,8,177,0.0262,0.02,nc,nc73155725,2019-03-24T20:45:04.236Z,"3km SE of The Geysers, CA",earthquake,0.49,0.73,0.29,3,automatic,nc,nc
2019-03-24T19:44:27.930Z,38.8120003,-122.7959976,1.31,0.54,md,6,145,0.004063,0.03,nc,nc73155720,2019-03-24T20:18:03.052Z,"5km NW of The Geysers, CA",earthquake,0.6,0.92,,1,automatic,nc,nc
2019-03-24T19:32:52.430Z,18.0716,-66.1536,9,2.2,md,14,107,0.116,0.48,pr,pr2019083015,2019-03-24T20:17:03.157Z,"4km SSE of Cayey, Puerto Rico",earthquake,0.78,2.46,0.43,10,reviewed,pr,pr
2019-03-24T19:22:30.770Z,18.8373,-67.3166,53,2.75,md,14,206,0.423,0.23,pr,pr2019083017,2019-03-25T00:14:08.971Z,"44km NNW of San Antonio, Puerto Rico",earthquake,1.15,1.85,0.14,8,reviewed,pr,pr
2019-03-24T19:08:29.310Z,33.4855,-116.7905,4.38,0.82,ml,41,36,0.02803,0.18,ci,ci38284255,2019-03-24T19:12:08.474Z,"8km NE of Aguanga, CA",earthquake,0.2,0.44,0.15,23,automatic,ci,ci
2019-03-24T19:02:52.880Z,19.4044991,-155.2826691,-0.37,1.83,ml,20,35,0.01245,0.15,hv,hv70883207,2019-03-24T19:08:35.970Z,"5km WSW of Volcano, Hawaii",earthquake,0.17,0.26,0.29,9,automatic,hv,hv
2019-03-24T19:00:00.760Z,33.5106667,-116.498,13.46,0.79,ml,30,110,0.05424,0.24,ci,ci38284239,2019-03-24T19:03:47.399Z,"17km ESE of Anza, CA",earthquake,0.4,0.55,0.12,22,automatic,ci,ci
2019-03-24T18:52:37.280Z,38.7891655,-122.760498,1.08,0.56,md,6,120,0.01887,0.01,nc,nc73155710,2019-03-24T19:23:02.740Z,"1km NNW of The Geysers, CA",earthquake,0.67,1.09,,1,automatic,nc,nc
2019-03-24T18:15:27.940Z,38.8404999,-122.8280029,1.93,1.07,md,22,78,0.006148,0.04,nc,nc73155705,2019-03-24T18:54:03.575Z,"9km WNW of Cobb, CA",earthquake,0.22,0.42,0.07,5,automatic,nc,nc
2019-03-24T17:57:43.920Z,38.8203316,-122.8256683,2.65,0.69,md,8,200,0.01177,0.03,nc,nc73155700,2019-03-24T18:28:03.436Z,"8km NW of The Geysers, CA",earthquake,0.75,1.24,0.25,2,automatic,nc,nc
2019-03-24T17:57:19.520Z,36.4426,-96.8799,5,2.6,mb_lg,,46,0.057,0.23,us,us1000jl0v,2019-03-24T20:41:19.040Z,"13km NNW of Pawnee, Oklahoma",earthquake,1.2,1,0.073,49,reviewed,us,us
2019-03-24T17:45:25.450Z,18.8486,-64.1501,89,3.42,md,5,347,1.8398,0.37,pr,pr2019083016,2019-03-24T21:20:50.840Z,"68km NE of Road Town, British Virgin Islands",earthquake,11.92,19.54,0.06,4,reviewed,pr,pr
2019-03-24T17:40:22.024Z,65.4043,-143.8155,0.1,2.6,ml,,,,0.99,ak,ak0193tjyspb,2019-03-24T20:48:32.040Z,"41km E of Circle Hot Springs Station, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-03-24T17:30:30.370Z,-18.6536,-69.3813,121.69,4.4,mb,,69,0.898,1.38,us,us1000jl0s,2019-03-24T20:14:03.040Z,"53km SSE of Putre, Chile",earthquake,7.6,4.9,0.148,13,reviewed,us,us
2019-03-24T17:17:08.490Z,40.3081665,-124.3096695,6.35,2.03,md,7,189,0.03197,0.03,nc,nc73155695,2019-03-24T17:39:04.167Z,"3km SW of Petrolia, CA",earthquake,0.69,0.96,0.02,3,automatic,nc,nc
2019-03-24T17:01:56.590Z,19.4013329,-155.2814941,0.17,1.82,ml,20,40,0.009494,0.1,hv,hv70883097,2019-03-24T17:07:50.260Z,"5km SW of Volcano, Hawaii",earthquake,0.17,0.19,0.16,11,automatic,hv,hv
2019-03-24T16:45:16.829Z,62.6104,-151.3962,89.6,1.3,ml,,,,1.02,ak,ak0193tjef7u,2019-03-24T16:53:30.654Z,"73km WNW of Talkeetna, Alaska",earthquake,,0.9,,,automatic,ak,ak
2019-03-24T16:31:34.380Z,33.2366667,-116.7711667,14.38,0.88,ml,36,27,0.01042,0.29,ci,ci38284191,2019-03-24T16:35:16.287Z,"1km SW of Lake Henshaw, CA",earthquake,0.39,0.76,0.169,28,automatic,ci,ci
2019-03-24T16:28:20.960Z,33.7121658,-117.4524994,11.13,1.24,ml,16,98,0.05205,0.34,ci,ci38284183,2019-03-24T16:30:26.605Z,"13km WNW of Lake Elsinore, CA",earthquake,1.4,1,0.188,8,automatic,ci,ci
